mode,top,name,acc,type,layout
hover,3,cai,0.845697329,personal,bikey
hover,4,cai,0.866468843,personal,bikey
hover,0,czt,0.590214067,personal,bikey
hover,1,czt,0.740061162,personal,bikey
hover,2,czt,0.795107034,personal,bikey
hover,3,czt,0.819571865,personal,bikey
hover,4,czt,0.840978593,personal,bikey
hover,0,wangchen1,0.772727273,personal,bikey
hover,1,wangchen1,0.851515152,personal,bikey
hover,2,wangchen1,0.881818182,personal,bikey
hover,3,wangchen1,0.903030303,personal,bikey
hover,4,wangchen1,0.906060606,personal,bikey
hover,0,fjy,0.592261905,personal,bikey
hover,1,fjy,0.75,personal,bikey
hover,2,fjy,0.800595238,personal,bikey
hover,3,fjy,0.821428571,personal,bikey
hover,4,fjy,0.833333333,personal,bikey
place,0,wangchen1,0.8625,personal,qwerty
place,1,wangchen1,0.9375,personal,qwerty
place,2,wangchen1,0.965625,personal,qwerty
place,3,wangchen1,0.984375,personal,qwerty
place,4,wangchen1,0.990625,personal,qwerty
hover,0,wangchen1,0.9030303,personal,qwerty
hover,1,wangchen1,0.96666667,personal,qwerty
hover,2,wangchen1,0.97575758,personal,qwerty
hover,3,wangchen1,0.98484848,personal,qwerty
hover,4,wangchen1,0.99090909,personal,qwerty
place,0,cai,0.50595238,personal,qwerty
place,1,cai,0.65178571,personal,qwerty
place,2,cai,0.71428571,personal,qwerty
place,3,cai,0.7797619,personal,qwerty
place,4,cai,0.80654762,personal,qwerty
hover,0,cai,0.76854599,personal,qwerty
hover,1,cai,0.87537092,personal,qwerty
hover,2,cai,0.91394659,personal,qwerty
hover,3,cai,0.94065282,personal,qwerty
hover,4,cai,0.95548961,personal,qwerty
place,0,luyiqin,0.70606061,personal,qwerty
place,1,luyiqin,0.83636364,personal,qwerty
place,2,luyiqin,0.89090909,personal,qwerty
place,3,luyiqin,0.92121212,personal,qwerty
place,4,luyiqin,0.94848485,personal,qwerty
hover,0,luyiqin,0.53172205,personal,qwerty
hover,1,luyiqin,0.67371601,personal,qwerty
hover,2,luyiqin,0.74018127,personal,qwerty
hover,3,luyiqin,0.79154079,personal,qwerty
hover,4,luyiqin,0.82477341,personal,qwerty
place,0,fjy,0.70481928,personal,qwerty
place,1,fjy,0.8373494,personal,qwerty
place,2,fjy,0.90361446,personal,qwerty
place,3,fjy,0.93674699,personal,qwerty
place,4,fjy,0.94578313,personal,qwerty
hover,0,fjy,0.71428571,personal,qwerty
hover,1,fjy,0.82142857,personal,qwerty
hover,2,fjy,0.85416667,personal,qwerty
hover,3,fjy,0.875,personal,qwerty
hover,4,fjy,0.88988095,personal,qwerty
place,0,lc,0.70967742,personal,qwerty
place,1,lc,0.83284457,personal,qwerty
place,2,lc,0.87390029,personal,qwerty
place,3,lc,0.88856305,personal,qwerty
place,4,lc,0.91788856,personal,qwerty
hover,0,lc,0.82142857,personal,qwerty
hover,1,lc,0.9077381,personal,qwerty
hover,2,lc,0.93154762,personal,qwerty
hover,3,lc,0.95238095,personal,qwerty
hover,4,lc,0.96130952,personal,qwerty
place,0,lwk,0.72537313,personal,qwerty
place,1,lwk,0.85970149,personal,qwerty
place,2,lwk,0.88955224,personal,qwerty
place,3,lwk,0.90149254,personal,qwerty
place,4,lwk,0.92238806,personal,qwerty
hover,0,lwk,0.71472393,personal,qwerty
hover,1,lwk,0.86503067,personal,qwerty
hover,2,lwk,0.90184049,personal,qwerty
hover,3,lwk,0.9202454,personal,qwerty
hover,4,lwk,0.93558282,personal,qwerty
place,0,lxy,0.81846154,personal,qwerty
place,1,lxy,0.91692308,personal,qwerty
place,2,lxy,0.93538462,personal,qwerty
place,3,lxy,0.95076923,personal,qwerty
place,4,lxy,0.96,personal,qwerty
hover,0,lxy,0.86746988,personal,qwerty
hover,1,lxy,0.95481928,personal,qwerty
hover,2,lxy,0.96987952,personal,qwerty
hover,3,lxy,0.96987952,personal,qwerty
hover,4,lxy,0.98493976,personal,qwerty
place,0,qdn,0.79464286,personal,qwerty
place,1,qdn,0.85714286,personal,qwerty
place,2,qdn,0.89583333,personal,qwerty
place,3,qdn,0.92261905,personal,qwerty
place,4,qdn,0.92857143,personal,qwerty
hover,0,qdn,0.70029674,personal,qwerty
hover,1,qdn,0.8189911,personal,qwerty
hover,2,qdn,0.8694362,personal,qwerty
hover,3,qdn,0.90207715,personal,qwerty
hover,4,qdn,0.91988131,personal,qwerty
place,0,wyd,0.81686047,personal,qwerty
place,1,wyd,0.93604651,personal,qwerty
