mode,top,name,acc,k
place,2,qdn,0.80952381,0.3
place,3,qdn,0.821428571,0.3
place,4,qdn,0.836309524,0.3
hover,0,qdn,0.727002967,0.3
hover,1,qdn,0.816023739,0.3
hover,2,qdn,0.872403561,0.3
hover,3,qdn,0.910979228,0.3
hover,4,qdn,0.925816024,0.3
place,0,wyd,0.738372093,0.3
place,1,wyd,0.877906977,0.3
place,2,wyd,0.906976744,0.3
place,3,wyd,0.921511628,0.3
place,4,wyd,0.941860465,0.3
hover,0,wyd,0.78369906,0.3
hover,1,wyd,0.868338558,0.3
hover,2,wyd,0.934169279,0.3
hover,3,wyd,0.946708464,0.3
hover,4,wyd,0.94984326,0.3
place,0,czt,0.633431085,0.3
place,1,czt,0.753665689,0.3
place,2,czt,0.812316716,0.3
place,3,czt,0.850439883,0.3
place,4,czt,0.876832845,0.3
hover,0,czt,0.633027523,0.3
hover,1,czt,0.755351682,0.3
hover,2,czt,0.813455657,0.3
hover,3,czt,0.868501529,0.3
hover,4,czt,0.883792049,0.3
place,0,gsh,0.853211009,0.3
place,1,gsh,0.944954128,0.3
place,2,gsh,0.975535168,0.3
place,3,gsh,0.98470948,0.3
place,4,gsh,0.987767584,0.3
hover,0,gsh,0.869047619,0.3
hover,1,gsh,0.958333333,0.3
hover,2,gsh,0.976190476,0.3
hover,3,gsh,0.985119048,0.3
hover,4,gsh,0.991071429,0.3
place,0,fsq,0.666666667,0.3
place,1,fsq,0.799410029,0.3
place,2,fsq,0.855457227,0.3
place,3,fsq,0.887905605,0.3
place,4,fsq,0.908554572,0.3
hover,0,fsq,0.692982456,0.3
hover,1,fsq,0.821637427,0.3
hover,2,fsq,0.871345029,0.3
hover,3,fsq,0.900584795,0.3
hover,4,fsq,0.909356725,0.3
place,0,wangchen1,0.803125,0.8
place,1,wangchen1,0.909375,0.8
place,2,wangchen1,0.934375,0.8
place,3,wangchen1,0.965625,0.8
place,4,wangchen1,0.971875,0.8
hover,0,wangchen1,0.83030303,0.8
hover,1,wangchen1,0.918181818,0.8
hover,2,wangchen1,0.951515152,0.8
hover,3,wangchen1,0.957575758,0.8
hover,4,wangchen1,0.966666667,0.8
place,0,cai,0.452380952,0.8
place,1,cai,0.601190476,0.8
place,2,cai,0.669642857,0.8
place,3,cai,0.699404762,0.8
place,4,cai,0.729166667,0.8
hover,0,cai,0.578635015,0.8
hover,1,cai,0.738872404,0.8
