mode,top,name,acc,gene-pers,touch-model,,
hover,0,wyd,0.789968652,general,relative,,
hover,1,wyd,0.909090909,general,relative,,
hover,2,wyd,0.940438871,general,relative,,
hover,3,wyd,0.94984326,general,relative,,
hover,4,wyd,0.94984326,general,relative,,
place,0,wyd,0.761627907,general,relative,,
place,1,wyd,0.880813953,general,relative,,
place,2,wyd,0.941860465,general,relative,,
place,3,wyd,0.965116279,general,relative,,
place,4,wyd,0.970930233,general,relative,,
hover,0,czt,0.70030581,general,relative,,
hover,1,czt,0.856269113,general,relative,,
hover,2,czt,0.908256881,general,relative,,
hover,3,czt,0.93883792,general,relative,,
hover,4,czt,0.944954128,general,relative,,
place,0,czt,0.671554252,general,relative,,
place,1,czt,0.829912023,general,relative,,
place,2,czt,0.885630499,general,relative,,
place,3,czt,0.920821114,general,relative,,
place,4,czt,0.926686217,general,relative,,
hover,0,gsh,0.851190476,general,relative,,
hover,1,gsh,0.9375,general,relative,,
hover,2,gsh,0.949404762,general,relative,,
hover,3,gsh,0.973214286,general,relative,,
hover,4,gsh,0.976190476,general,relative,,
place,0,gsh,0.865443425,general,relative,,
place,1,gsh,0.941896024,general,relative,,
place,2,gsh,0.966360856,general,relative,,
place,3,gsh,0.975535168,general,relative,,
place,4,gsh,0.975535168,general,relative,,
hover,0,fsq,0.786549708,general,relative,,
hover,1,fsq,0.897660819,general,relative,,
hover,2,fsq,0.938596491,general,relative,,
hover,3,fsq,0.953216374,general,relative,,
hover,4,fsq,0.959064327,general,relative,,
place,0,fsq,0.725663717,general,relative,,
place,1,fsq,0.861356932,general,relative,,
place,2,fsq,0.902654867,general,relative,,
place,3,fsq,0.926253687,general,relative,,
place,4,fsq,0.935103245,general,relative,,
hover,0,wangchen1,0.8,personal,relative,,
hover,1,wangchen1,0.896969697,personal,relative,,
hover,2,wangchen1,0.945454545,personal,relative,,
hover,3,wangchen1,0.948484848,personal,relative,,
hover,4,wangchen1,0.948484848,personal,relative,,
place,0,wangchen1,0.775,personal,relative,,
place,1,wangchen1,0.875,personal,relative,,
place,2,wangchen1,0.915625,personal,relative,,
place,3,wangchen1,0.921875,personal,relative,,
place,4,wangchen1,0.94375,personal,relative,,
hover,0,cai,0.765578635,personal,relative,,
hover,1,cai,0.899109792,personal,relative,,
hover,2,cai,0.925816024,personal,relative,,
hover,3,cai,0.946587537,personal,relative,,
hover,4,cai,0.952522255,personal,relative,,
place,0,cai,0.648809524,personal,relative,,
place,1,cai,0.785714286,personal,relative,,
place,2,cai,0.845238095,personal,relative,,
place,3,cai,0.875,personal,relative,,
place,4,cai,0.892857143,personal,relative,,
hover,0,luyiqin,0.640483384,personal,relative,,
hover,1,luyiqin,0.779456193,personal,relative,,
hover,2,luyiqin,0.842900302,personal,relative,,
hover,3,luyiqin,0.882175227,personal,relative,,
hover,4,luyiqin,0.906344411,personal,relative,,
place,0,luyiqin,0.690909091,personal,relative,,
place,1,luyiqin,0.812121212,personal,relative,,
place,2,luyiqin,0.851515152,personal,relative,,
place,3,luyiqin,0.878787879,personal,relative,,
place,4,luyiqin,0.903030303,personal,relative,,
hover,0,fjy,0.74702381,personal,relative,,
hover,1,fjy,0.875,personal,relative,,
hover,2,fjy,0.910714286,personal,relative,,
hover,3,fjy,0.928571429,personal,relative,,
hover,4,fjy,0.943452381,personal,relative,,
place,0,fjy,0.75,personal,relative,,
place,1,fjy,0.879518072,personal,relative,,
place,2,fjy,0.930722892,personal,relative,,
place,3,fjy,0.93373494,personal,relative,,
place,4,fjy,0.942771084,personal,relative,,
hover,0,lc,0.836309524,personal,relative,,
hover,1,lc,0.925595238,personal,relative,,
hover,2,lc,0.952380952,personal,relative,,
hover,3,lc,0.967261905,personal,relative,,
hover,4,lc,0.970238095,personal,relative,,
place,0,lc,0.797653959,personal,relative,,
place,1,lc,0.897360704,personal,relative,,
place,2,lc,0.923753666,personal,relative,,
place,3,lc,0.950146628,personal,relative,,
place,4,lc,0.958944282,personal,relative,,
hover,0,lwk,0.745398773,personal,relative,,
hover,1,lwk,0.880368098,personal,relative,,
hover,2,lwk,0.914110429,personal,relative,,
hover,3,lwk,0.932515337,personal,relative,,
hover,4,lwk,0.941717791,personal,relative,,
place,0,lwk,0.68358209,personal,relative,,
place,1,lwk,0.83880597,personal,relative,,
place,2,lwk,0.907462687,personal,relative,,
place,3,lwk,0.925373134,personal,relative,,
place,4,lwk,0.943283582,personal,relative,,
hover,0,lxy,0.846385542,personal,relative,,
hover,1,lxy,0.93373494,personal,relative,,
hover,2,lxy,0.951807229,personal,relative,,
hover,3,lxy,0.963855422,personal,relative,,
hover,4,lxy,0.963855422,personal,relative,,
place,0,lxy,0.809230769,personal,relative,,
place,1,lxy,0.913846154,personal,relative,,
place,2,lxy,0.944615385,personal,relative,,
place,3,lxy,0.96,personal,relative,,
place,4,lxy,0.96,personal,relative,,
hover,0,qdn,0.762611276,personal,relative,,
hover,1,qdn,0.902077151,personal,relative,,
hover,2,qdn,0.925816024,personal,relative,,
hover,3,qdn,0.940652819,personal,relative,,
hover,4,qdn,0.946587537,personal,relative,,
place,0,qdn,0.80952381,personal,relative,,
place,1,qdn,0.889880952,personal,relative,,
place,2,qdn,0.922619048,personal,relative,,
place,3,qdn,0.9375,personal,relative,,
place,4,qdn,0.946428571,personal,relative,,
hover,0,wyd,0.793103448,personal,relative,,
hover,1,wyd,0.909090909,personal,relative,,
hover,2,wyd,0.940438871,personal,relative,,
hover,3,wyd,0.94984326,personal,relative,,
hover,4,wyd,0.94984326,personal,relative,,
place,0,wyd,0.761627907,personal,relative,,
place,1,wyd,0.877906977,personal,relative,,
place,2,wyd,0.941860465,personal,relative,,
place,3,wyd,0.968023256,personal,relative,,
place,4,wyd,0.970930233,personal,relative,,
hover,0,czt,0.743119266,personal,relative,,
hover,1,czt,0.859327217,personal,relative,,
hover,2,czt,0.905198777,personal,relative,,
hover,3,czt,0.944954128,personal,relative,,
hover,4,czt,0.95412844,personal,relative,,
place,0,czt,0.68914956,personal,relative,,
place,1,czt,0.847507331,personal,relative,,
place,2,czt,0.891495601,personal,relative,,
place,3,czt,0.91202346,personal,relative,,
place,4,czt,0.93255132,personal,relative,,
hover,0,gsh,0.860119048,personal,relative,,
hover,1,gsh,0.9375,personal,relative,,
hover,2,gsh,0.949404762,personal,relative,,
hover,3,gsh,0.967261905,personal,relative,,
hover,4,gsh,0.976190476,personal,relative,,
place,0,gsh,0.856269113,personal,relative,,
place,1,gsh,0.93883792,personal,relative,,
place,2,gsh,0.960244648,personal,relative,,
place,3,gsh,0.975535168,personal,relative,, 
place,4,gsh,0.975535168,personal,relative,,
hover,0,fsq,0.774853801,personal,relative,,
hover,1,fsq,0.900584795,personal,relative,,
hover,2,fsq,0.938596491,personal,relative,,
hover,3,fsq,0.953216374,personal,relative,,
hover,4,fsq,0.961988304,personal,relative,,
place,0,fsq,0.725663717,personal,relative,,
place,1,fsq,0.864306785,personal,relative,,
place,2,fsq,0.89380531,personal,relative,,
place,3,fsq,0.920353982,personal,relative,,
place,4,fsq,0.923303835,personal,relative,,
